Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,219,3971.333,2941,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,220,4004,2939.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,221,4034.667,2938.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,222,4068,2938.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,223,4103.333,2938.333,17,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,224,4135.333,2942.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,225,4168.667,2946.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,226,4201.333,2951.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,227,4231.333,2959.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,228,4266,2973,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,229,4296.667,2990.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,230,4320.667,3006.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,231,4346,3030.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,232,4360.667,3049,,,,,,,,,,,,,,,,,,,1
